Part,%C,%Si,%Mn,%P,%S,%Cu,%Cr,%Ni,%Mo,%Sn,%Mg,%Ti,%Al,%B,%V,%Sb,%Nb,%Ce,%CE,%Reject
0,3.56,2.56,0.34,0.025,0.008,0.158,0.039,0.012,0.01,0.008,0.037,0.021,0.007,0.001,0.003,0.002,0,0,4.343,1.18
0,3.57,2.58,0.34,0.024,0.008,0.154,0.039,0.012,0.01,0.008,0.037,0.021,0.007,0.001,0.003,0.002,0,0,4.354,1.18
0,3.55,2.62,0.331,0.024,0.008,0.15,0.038,0.012,0.009,0.008,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.351,1.18
0,3.51,2.58,0.333,0.024,0.009,0.143,0.038,0.012,0.009,0.008,0.038,0.021,0.007,0.001,0.003,0.002,0,0,4.297,1.18
1,3.57,2.67,0.32,0.024,0.008,0.179,0.032,0.011,0.007,0.006,0.04,0.021,0.007,0.001,0.003,0.002,0,0,4.386,8.35
1,3.53,2.52,0.317,0.024,0.009,0.176,0.032,0.011,0.007,0.006,0.038,0.021,0.006,0.001,0.003,0.001,0,0,4.3,8.35
1,3.54,2.53,0.318,0.024,0.007,0.172,0.032,0.011,0.007,0.006,0.034,0.021,0.006,0.001,0.003,0.001,0,0,4.311,8.35
1,3.54,2.57,0.322,0.025,0.008,0.154,0.033,0.011,0.007,0.007,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.324,8.35
1,3.63,2.55,0.321,0.024,0.007,0.181,0.031,0.011,0.007,0.006,0.037,0.021,0.007,0.001,0.003,0.002,0,0,4.407,8.35
0,3.71,2.61,0.324,0.025,0.008,0.18,0.032,0.011,0.007,0.007,0.044,0.021,0.007,0.001,0.003,0.002,0,0,4.508,1.18
1,3.52,2.63,0.338,0.027,0.009,0.169,0.035,0.012,0.007,0.007,0.036,0.021,0.007,0.001,0.003,0.001,0,0,4.267,8.35
1,3.52,2.66,0.338,0.028,0.008,0.19,0.034,0.011,0.007,0.007,0.038,0.021,0.007,0.001,0.003,0.002,0,0,4.282,8.35
1,3.53,2.66,0.339,0.027,0.007,0.169,0.035,0.011,0.007,0.007,0.034,0.021,0.007,0.001,0.003,0.002,0,0,4.285,8.35
1,3.53,2.64,0.338,0.026,0.008,0.168,0.034,0.011,0.007,0.007,0.04,0.021,0.007,0.001,0.003,0.002,0,0,4.242,46.35
1,3.52,2.62,0.34,0.027,0.009,0.17,0.034,0.012,0.007,0.007,0.039,0.021,0.007,0.001,0.003,0.002,0,0,4.233,46.35
1,3.52,2.67,0.336,0.028,0.01,0.166,0.034,0.011,0.007,0.007,0.038,0.021,0.007,0.001,0.003,0.001,0,0,4.335,46.35
0,3.51,2.65,0.33,0.027,0.009,0.169,0.035,0.011,0.007,0.007,0.037,0.022,0.007,0.001,0.003,0.002,0,0,4.262,5.19
0,3.52,2.7,0.329,0.029,0.008,0.168,0.035,0.011,0.007,0.007,0.04,0.021,0.008,0.001,0.003,0.001,0,0,4.344,5.19
0,3.52,2.69,0.33,0.028,0.008,0.169,0.035,0.011,0.007,0.008,0.04,0.021,0.008,0.001,0.003,0.002,0,0,4.312,5.19
0,3.51,2.65,0.33,0.026,0.007,0.168,0.035,0.011,0.007,0.007,0.033,0.021,0.007,0.001,0.003,0.001,0,0,4.225,5.19
0,3.53,2.72,0.333,0.027,0.008,0.166,0.035,0.011,0.007,0.007,0.038,0.021,0.008,0.001,0.003,0.002,0,0,4.359,5.19
0,3.55,2.75,0.336,0.028,0.007,0.155,0.035,0.011,0.008,0.008,0.037,0.022,0.008,0.001,0.003,0.002,0,0,4.392,5.19
0,3.63,2.63,0.325,0.023,0.008,0.174,0.035,0.01,0.008,0.008,0.04,0.02,0.007,0.001,0.003,0.002,0,0,4.429,5.19
0,3.58,2.59,0.324,0.024,0.008,0.176,0.034,0.011,0.008,0.008,0.038,0.02,0.007,0.001,0.003,0.002,0,0,4.373,5.19
0,3.62,2.6,0.323,0.024,0.008,0.175,0.034,0.01,0.007,0.008,0.042,0.02,0.007,0.001,0.003,0.002,0,0,4.409,5.19
0,3.59,2.55,0.323,0.024,0.009,0.175,0.034,0.011,0.007,0.007,0.038,0.02,0.007,0.001,0.003,0.002,0,0,4.365,5.19
0,3.61,2.59,0.323,0.025,0.009,0.17,0.034,0.011,0.007,0.008,0.04,0.02,0.007,0.001,0.003,0.001,0,0,4.396,5.19
0,3.56,2.6,0.331,0.026,0.008,0.153,0.036,0.011,0.008,0.008,0.034,0.02,0.006,0.001,0.003,0.002,0,0,4.356,5.19
1,3.66,2.67,0.326,0.026,0.008,0.168,0.035,0.011,0.008,0.007,0.042,0.022,0.007,0.001,0.003,0.002,0,0,4.475,46.35
1,3.69,2.65,0.325,0.027,0.009,0.17,0.035,0.011,0.008,0.007,0.041,0.022,0.007,0.001,0.003,0.002,0,0,4.499,46.35
1,3.68,2.69,0.327,0.026,0.009,0.168,0.035,0.011,0.008,0.008,0.043,0.022,0.008,0.001,0.003,0.002,0,0,4.506,46.35
1,3.7,2.67,0.325,0.025,0.008,0.166,0.035,0.01,0.008,0.007,0.039,0.022,0.007,0.001,0.003,0.002,0,0,4.519,46.35
1,3.68,2.66,0.326,0.026,0.009,0.166,0.035,0.011,0.008,0.007,0.04,0.022,0.007,0.001,0.003,0.002,0,0,4.487,46.35
1,3.66,2.7,0.328,0.026,0.009,0.158,0.034,0.011,0.008,0.007,0.04,0.021,0.007,0.001,0.003,0.002,0,0,4.48,46.35
0,3.53,2.59,0.328,0.025,0.01,0.178,0.034,0.011,0.007,0.008,0.038,0.02,0.007,0.001,0.003,0.001,0,0,4.315,1.58
1,3.52,2.64,0.327,0.025,0.008,0.177,0.033,0.011,0.007,0.008,0.04,0.02,0.008,0.001,0.003,0.002,0,0,4.325,4.17
1,3.54,2.63,0.328,0.025,0.008,0.177,0.034,0.01,0.007,0.008,0.041,0.02,0.007,0.001,0.003,0.002,0,0,4.343,4.17
1,3.54,2.61,0.329,0.024,0.007,0.177,0.034,0.01,0.007,0.008,0.039,0.021,0.01,0.001,0.003,0.002,0,0,4.333,4.17
1,3.56,2.58,0.327,0.024,0.007,0.176,0.033,0.011,0.007,0.007,0.034,0.02,0.007,0.001,0.003,0.002,0,0,4.349,4.17
1,3.57,2.64,0.33,0.024,0.008,0.173,0.034,0.011,0.008,0.008,0.04,0.021,0.008,0.001,0.003,0.002,0,0,4.378,4.17
0,3.52,2.62,0.332,0.024,0.007,0.162,0.034,0.011,0.008,0.008,0.039,0.022,0.007,0.001,0.003,0.002,0,0,4.322,1.58
0,3.51,2.63,0.334,0.023,0.007,0.161,0.034,0.011,0.008,0.008,0.037,0.022,0.008,0.001,0.003,0.001,0,0,4.313,1.58
0,3.56,2.64,0.332,0.023,0.009,0.159,0.033,0.011,0.008,0.007,0.038,0.022,0.007,0.001,0.003,0.002,0,0,4.364,1.58
0,3.54,2.63,0.333,0.024,0.007,0.161,0.034,0.011,0.008,0.008,0.037,0.022,0.007,0.001,0.003,0.002,0,0,4.345,1.58
0,3.56,2.66,0.334,0.025,0.008,0.158,0.034,0.011,0.008,0.008,0.039,0.023,0.007,0.001,0.003,0.002,0,0,4.377,1.58
0,3.56,2.68,0.335,0.026,0.007,0.146,0.035,0.011,0.008,0.009,0.037,0.022,0.007,0.001,0.003,0.002,0,0,4.375,1.58
0,3.54,2.66,0.319,0.024,0.008,0.175,0.036,0.012,0.01,0.008,0.041,0.023,0.007,0.001,0.003,0.002,0,0,4.346,1.58
0,3.56,2.64,0.318,0.025,0.007,0.176,0.036,0.012,0.009,0.008,0.038,0.022,0.007,0.001,0.003,0.002,0,0,4.368,1.58
0,3.52,2.65,0.319,0.024,0.008,0.177,0.036,0.012,0.01,0.008,0.041,0.022,0.007,0.001,0.003,0.003,0,0,4.326,1.58
